UniProt_ID	Gene_Name	Protein_Name	Subcellular_Location	Domain_Information
P53004	BLVRA	Biliverdin reductase A (BVR A) (EC 1.3.1.24) (Biliverdin-IX alpha-reductase)	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:7929092, ECO:0000269|PubMed:8424666}.	
P53367	ARFIP1	Arfaptin-1 (ADP-ribosylation factor-interacting protein 1)	SUBCELLULAR LOCATION: Golgi apparatus {ECO:0000269|PubMed:22981988, ECO:0000269|PubMed:9038142}. Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:21239483, ECO:0000269|PubMed:30917996}.	
P53611	RABGGTB	Geranylgeranyl transferase type-2 subunit beta (EC 2.5.1.60) (Geranylgeranyl transferase type II subunit beta) (GGTase-II-beta) (Rab geranyl-geranyltransferase subunit beta) (Rab GG transferase beta) (Rab GGTase beta) (Rab geranylgeranyltransferase subunit beta) (Type II protein geranyl-geranyltransferase subunit beta)		
P53673	CRYBA4	Beta-crystallin A4 (Beta-A4 crystallin)		DOMAIN: Has a two-domain beta-structure, folded into four very similar Greek key motifs.
P53677	AP3M2	AP-3 complex subunit mu-2 (Adaptor-related protein complex 3 subunit mu-2) (Clathrin assembly protein assembly protein complex 3 mu-2 medium chain) (Clathrin coat assembly protein AP47 homolog 2) (Clathrin coat-associated protein AP47 homolog 2) (Golgi adaptor AP-1 47 kDa protein homolog 2) (HA1 47 kDa subunit homolog 2) (Mu3B-adaptin) (P47B)	SUBCELLULAR LOCATION: Golgi apparatus. Cytoplasmic vesicle membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Note=Component of the coat surrounding the cytoplasmic face of coated vesicles located at the Golgi complex. {ECO:0000250}.	
P53999	SUB1	Activated RNA polymerase II transcriptional coactivator p15 (Positive cofactor 4) (PC4) (SUB1 homolog) (p14)	SUBCELLULAR LOCATION: Nucleus.	
P54098	POLG	DNA polymerase subunit gamma-1 (EC 2.7.7.7) (3'-5' exodeoxyribonuclease) (EC 3.1.11.-) (5'-deoxyribose-phosphate lyase) (EC 4.2.99.-) (Mitochondrial DNA polymerase catalytic subunit) (PolG-alpha)	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:10827171, ECO:0000269|PubMed:18063578}. Mitochondrion matrix, mitochondrion nucleoid {ECO:0000269|PubMed:18063578}.	DOMAIN: The polymerase domain encompasses three conserved active site motifs: Pol A (residues 887-896), Pol B (residues 943-958) and Pol C (residues 1134-1141). Binds the incoming dNTPs and undergoes an open to close coformation change to catalyze the formation of phosphodiester bond. {ECO:0000269|PubMed:26056153, ECO:0000303|PubMed:15189144, ECO:0000303|PubMed:8884268}.; DOMAIN: The 3' -> 5' exonuclease domain comprises three conserved active site motifs: Exo I (residues 196-200), Exo II (residues 267-275) and Exo III (residues 395-403). Proofreads the newly synthesized DNA strand. {ECO:0000269|PubMed:37202477, ECO:0000303|PubMed:15189144, ECO:0000303|PubMed:8884268}.; DOMAIN: The trigger loop contracts to enable correctly matched primer-template pair entry into the polymerase domain and extends to preclude the mismatched one. {ECO:0000269|PubMed:37202477}.; DOMAIN: The accessory determinant domain (AID) interacts with POLG2 proximal monomer. {ECO:0000269|PubMed:26056153}.
P54107	CRISP1	Cysteine-rich secretory protein 1 (CRISP-1) (AEG-like protein) (ARP) (Acidic epididymal glycoprotein homolog)	SUBCELLULAR LOCATION: Note=Located in the lumen and epithelium of distal ductus efferentes and epididymal ducts, and on the postacrosomal region of the sperm head.	
P54577	YARS1	Tyrosine--tRNA ligase, cytoplasmic (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS) [Cleaved into: Tyrosine--tRNA ligase, cytoplasmic, N-terminally processed]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16429158, ECO:0000269|PubMed:30304524, ECO:0000305|PubMed:9162081}. Nucleus {ECO:0000269|PubMed:22291016, ECO:0000269|PubMed:25533949}. Note=Cytoplasmic in normal conditions (PubMed:25533949). Resveratrol-binding in response to serum starvation promotes relocalization to the nucleus (PubMed:25533949). {ECO:0000269|PubMed:25533949}.	DOMAIN: The nuclear localization signal, which mediates localization to the nucleus, is also important for interacting with tRNA(Tyr), suggesting that it is sterically blocked when tRNA(Tyr) is bound. {ECO:0000269|PubMed:22291016}.
P54756	EPHA5	Ephrin type-A receptor 5 (EC 2.7.10.1) (Brain-specific kinase) (EPH homology kinase 1) (EHK-1) (EPH-like kinase 7) (EK7) (hEK7)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10375373}; Single-pass type I membrane protein {ECO:0000255}. Cell projection, axon {ECO:0000250|UniProtKB:P54757}. Cell projection, dendrite {ECO:0000269|PubMed:10375373, ECO:0000269|PubMed:9191074}.	
P54760	EPHB4	Ephrin type-B receptor 4 (EC 2.7.10.1) (Hepatoma transmembrane kinase) (Tyrosine-protein kinase TYRO11)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:28687708, ECO:0000269|PubMed:8188704}; Single-pass type I membrane protein {ECO:0000269|PubMed:8188704}.	
P54802	NAGLU	Alpha-N-acetylglucosaminidase (EC 3.2.1.50) (N-acetyl-alpha-glucosaminidase) (NAG) [Cleaved into: Alpha-N-acetylglucosaminidase 82 kDa form; Alpha-N-acetylglucosaminidase 77 kDa form]	SUBCELLULAR LOCATION: Lysosome.	
P54803	GALC	Galactocerebrosidase (GALCERase) (EC 3.2.1.46) (Galactocerebroside beta-galactosidase) (Galactosylceramidase) (Galactosylceramide beta-galactosidase)	SUBCELLULAR LOCATION: Lysosome.	
P54819	AK2	Adenylate kinase 2, mitochondrial (AK 2) (EC 2.7.4.3) (ATP-AMP transphosphorylase 2) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) [Cleaved into: Adenylate kinase 2, mitochondrial, N-terminally processed]	SUBCELLULAR LOCATION: Mitochondrion intermembrane space {ECO:0000255|HAMAP-Rule:MF_03168}.	DOMAIN: Consists of three domains, a large central CORE domain and two small peripheral domains, NMPbind and LID, which undergo movements during catalysis. The LID domain closes over the site of phosphoryl transfer upon ATP binding. Assembling and dissambling the active center during each catalytic cycle provides an effective means to prevent ATP hydrolysis. {ECO:0000255|HAMAP-Rule:MF_03168, ECO:0000305|Ref.17}.
P54868	HMGCS2	Hydroxymethylglutaryl-CoA synthase, mitochondrial (HMG-CoA synthase) (EC 2.3.3.10) (3-hydroxy-3-methylglutaryl coenzyme A synthase)	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:P22791}.	
P55008	AIF1	Allograft inflammatory factor 1 (AIF-1) (Ionized calcium-binding adapter molecule 1) (Protein G1)	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:O70200}. Cell projection, ruffle membrane {ECO:0000250|UniProtKB:O70200}; Peripheral membrane protein {ECO:0000250|UniProtKB:O70200}; Cytoplasmic side {ECO:0000250|UniProtKB:O70200}. Cell projection, phagocytic cup {ECO:0000250|UniProtKB:O70200}. Note=Associated with the actin cytoskeleton at membrane ruffles and at sites of phagocytosis. {ECO:0000250|UniProtKB:O70200}.	
P55011	SLC12A2	Solute carrier family 12 member 2 (Basolateral Na-K-Cl symporter) (Bumetanide-sensitive sodium-(potassium)-chloride cotransporter 2) (BSC2) (Na-K-2Cl cotransporter 1) (hNKCC1)	SUBCELLULAR LOCATION: Basolateral cell membrane {ECO:0000305|PubMed:32081947, ECO:0000305|PubMed:7629105}; Multi-pass membrane protein {ECO:0000305|PubMed:32081947, ECO:0000305|PubMed:33597714}.	DOMAIN: The RFXV motifs mediate binding with OXSR1/OSR1 and STK39/SPAK. {ECO:0000269|PubMed:16669787}.
P55060	CSE1L	Exportin-2 (Exp2) (Cellular apoptosis susceptibility protein) (Chromosome segregation 1-like protein) (Importin-alpha re-exporter)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:9323134}. Nucleus {ECO:0000269|PubMed:9323134}. Note=Shuttles between the nucleus and the cytoplasm. {ECO:0000269|PubMed:9323134}.	
P55087	AQP4	Aquaporin-4 (AQP-4) (Mercurial-insensitive water channel) (MIWC) (WCH4)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:37143309, ECO:0000269|PubMed:7559426, ECO:0000269|PubMed:8601457}; Multi-pass membrane protein {ECO:0000269|PubMed:19383790}. Basolateral cell membrane {ECO:0000250|UniProtKB:P55088}; Multi-pass membrane protein {ECO:0000269|PubMed:19383790}. Endosome membrane {ECO:0000250|UniProtKB:P47863}. Cell membrane, sarcolemma {ECO:0000269|PubMed:29055082}; Multi-pass membrane protein {ECO:0000269|PubMed:19383790}. Cell projection {ECO:0000250|UniProtKB:P47863}. Note=Activation of the vasopressin receptor AVPR1A triggers AQP4 phosphorylation at Ser-180 and promotes its internalization from the cell membrane. Detected on brain astrocyte processes and astrocyte endfeet close to capillaries. {ECO:0000250|UniProtKB:P47863}.	DOMAIN: Aquaporins contain two tandem repeats each containing three membrane-spanning domains and a pore-forming loop with the signature motif Asn-Pro-Ala (NPA). {ECO:0000269|PubMed:19383790}.
P55345	PRMT2	Protein arginine N-methyltransferase 2 (EC 2.1.1.319) (Histone-arginine N-methyltransferase PRMT2)	SUBCELLULAR LOCATION: [Isoform 1]: Cytoplasm. Nucleus. Note=Translocates from the cytoplasm to the nucleus, after hormone exposure. Excluded from nucleolus.; SUBCELLULAR LOCATION: [Isoform PRMT2Alpha]: Nucleus. Note=Excluded from nucleolus.; SUBCELLULAR LOCATION: [Isoform PRMT2Beta]: Cytoplasm. Nucleus. Nucleus, nucleolus.; SUBCELLULAR LOCATION: [Isoform PRMT2Gamma]: Nucleus. Note=Excluded from nucleolus.; SUBCELLULAR LOCATION: [Isoform PRMT2L2]: Cytoplasm {ECO:0000269|PubMed:21820040}. Nucleus {ECO:0000269|PubMed:21820040}. Note=Predominantly cytoplasmic.	
P55347	PKNOX1	Homeobox protein PKNOX1 (Homeobox protein PREP-1) (PBX/knotted homeobox 1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.	
P55769	SNU13	NHP2-like protein 1 (High mobility group-like nuclear protein 2 homolog 1) (OTK27) (SNU13 homolog) (hSNU13) (U4/U6.U5 small nuclear ribonucleoprotein SNU13) (U4/U6.U5 tri-snRNP 15.5 kDa protein) [Cleaved into: NHP2-like protein 1, N-terminally processed]	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:26912367, ECO:0000269|PubMed:28781166, ECO:0000269|PubMed:34516797}. Nucleus, nucleolus {ECO:0000269|PubMed:10593953, ECO:0000269|PubMed:12429849, ECO:0000269|Ref.7}. Note=Concentrated in the dense fibrillar component of the nucleolus. {ECO:0000269|PubMed:10593953}.	
P55771	PAX9	Paired box protein Pax-9	SUBCELLULAR LOCATION: Nucleus.	
P55795	HNRNPH2	Heterogeneous nuclear ribonucleoprotein H2 (hnRNP H2) (FTP-3) (Heterogeneous nuclear ribonucleoprotein H') (hnRNP H') [Cleaved into: Heterogeneous nuclear ribonucleoprotein H2, N-terminally processed]	SUBCELLULAR LOCATION: Nucleus, nucleoplasm {ECO:0000269|PubMed:24644279}.	
P55809	OXCT1	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial (SCOT) (EC 2.8.3.5) (3-oxoacid CoA-transferase 1) (Somatic-type succinyl-CoA:3-oxoacid CoA-transferase) (SCOT-s) (Succinyl-CoA:3-oxoacid CoA transferase)	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:B2GV06}.	
P55899	FCGRT	IgG receptor FcRn large subunit p51 (FcRn) (IgG Fc fragment receptor transporter alpha chain) (Neonatal Fc receptor)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P13599}; Single-pass type I membrane protein {ECO:0000255}. Endosome membrane {ECO:0000269|PubMed:31104841}.	
P55916	UCP3	Putative mitochondrial transporter UCP3 (Solute carrier family 25 member 9) (Uncoupling protein-3) (UCP 3)	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P56501}; Multi-pass membrane protein {ECO:0000255}.	
P55957	BID	BH3-interacting domain death agonist (p22 BID) (BID) [Cleaved into: BH3-interacting domain death agonist p15 (p15 BID); BH3-interacting domain death agonist p13 (p13 BID); BH3-interacting domain death agonist p11 (p11 BID)]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14583606}. Mitochondrion membrane {ECO:0000269|PubMed:14583606}. Mitochondrion outer membrane {ECO:0000269|PubMed:29531808}. Note=When uncleaved, it is predominantly cytoplasmic. {ECO:0000269|PubMed:14583606}.; SUBCELLULAR LOCATION: [BH3-interacting domain death agonist p15]: Mitochondrion membrane {ECO:0000250|UniProtKB:P70444}. Note=Translocates to mitochondria as an integral membrane protein. {ECO:0000250|UniProtKB:P70444}.; SUBCELLULAR LOCATION: [BH3-interacting domain death agonist p13]: Mitochondrion membrane {ECO:0000250|UniProtKB:P70444}. Note=Associated with the mitochondrial membrane. {ECO:0000250|UniProtKB:P70444}.; SUBCELLULAR LOCATION: [Isoform 1]: Cytoplasm {ECO:0000269|PubMed:14583606}.; SUBCELLULAR LOCATION: [Isoform 3]: Cytoplasm {ECO:0000269|PubMed:14583606}.; SUBCELLULAR LOCATION: [Isoform 2]: Mitochondrion membrane {ECO:0000269|PubMed:14583606}. Note=A significant proportion of isoform 2 localizes to mitochondria, it may be cleaved constitutively. {ECO:0000269|PubMed:14583606}.	DOMAIN: Intact BH3 motif is required by BIK, BID, BAK, BAD and BAX for their pro-apoptotic activity and for their interaction with anti-apoptotic members of the Bcl-2 family.
P56177	DLX1	Homeobox protein DLX-1	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:14671321}.	DOMAIN: The homeobox DNA-binding domain is necessary for its nuclear localization, transcriptional and erythroid differentiation activities (PubMed:14671321). {ECO:0000269|PubMed:14671321}.
P56178	DLX5	Homeobox protein DLX-5	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00108}.	
P56377	AP1S2	AP-1 complex subunit sigma-2 (Adaptor protein complex AP-1 subunit sigma-1B) (Adaptor-related protein complex 1 subunit sigma-1B) (Clathrin assembly protein complex 1 sigma-1B small chain) (Golgi adaptor HA1/AP1 adaptin sigma-1B subunit) (Sigma 1B subunit of AP-1 clathrin) (Sigma-adaptin 1B) (Sigma1B-adaptin)	SUBCELLULAR LOCATION: Golgi apparatus. Cytoplasmic vesicle membrane; Peripheral membrane protein; Cytoplasmic side. Membrane, clathrin-coated pit. Note=Component of the coat surrounding the cytoplasmic face of coated vesicles located at the Golgi complex.	
P56470	LGALS4	Galectin-4 (Gal-4) (Antigen NY-CO-27) (L-36 lactose-binding protein) (L36LBP) (Lactose-binding lectin 4)		DOMAIN: Contains two homologous but distinct carbohydrate-binding domains.
P56597	NME5	Nucleoside diphosphate kinase homolog 5 (NDK-H 5) (NDP kinase homolog 5) (3'-5' exonuclease NME5) (EC 3.1.-.-) (Inhibitor of p53-induced apoptosis-beta) (IPIA-beta) (Testis-specific nm23 homolog) (nm23-H5)	SUBCELLULAR LOCATION: Cell projection, cilium {ECO:0000250|UniProtKB:Q99MH5}. Cytoplasm, cytoskeleton, flagellum axoneme {ECO:0000250|UniProtKB:Q99MH5}.	DOMAIN: Does not possess all residues considered to be crucial for the NDPK activity. {ECO:0000305|PubMed:9742940}.
P56645	PER3	Period circadian protein homolog 3 (hPER3) (Cell growth-inhibiting gene 13 protein) (Circadian clock protein PERIOD 3)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:26903630}. Nucleus {ECO:0000269|PubMed:26903630}. Note=Mainly cytoplasmic. Translocates to the nucleus through binding PER1, PER2, CRY1 or CRY2, but not TIMELESS. {ECO:0000250|UniProtKB:O70361}.	
P56748	CLDN8	Claudin-8	SUBCELLULAR LOCATION: Cell junction, tight junction {ECO:0000269|PubMed:17287494}. Cell membrane {ECO:0000250|UniProtKB:Q9Z260}; Multi-pass membrane protein {ECO:0000255}. Note=Localizes to tight junctions in all 3 segments of the epididymis, in the caput found in the lateral margins of principal cells, and in the corpus at the interface between basal and principal cells. {ECO:0000269|PubMed:17287494}.	
P56851	EDDM3B	Epididymal secretory protein E3-beta (Human epididymis-specific protein 3-beta) (HE3-beta)	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	
P56880	CLDN20	Claudin-20	SUBCELLULAR LOCATION: Cell junction, tight junction {ECO:0000269|PubMed:30734065}. Cell membrane; Multi-pass membrane protein.	
P56975	NRG3	Pro-neuregulin-3, membrane-bound isoform (Pro-NRG3) [Cleaved into: Neuregulin-3 (NRG-3)]	SUBCELLULAR LOCATION: [Pro-neuregulin-3, membrane-bound isoform]: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}. Note=Does not seem to be active. {ECO:0000250}.; SUBCELLULAR LOCATION: [Neuregulin-3]: Secreted {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 3]: Cell membrane; Single-pass type I membrane protein. Note=Isoform 3 is also proteolytically released as a soluble form.	DOMAIN: The cytoplasmic domain may be involved in the regulation of trafficking and proteolytic processing. Regulation of the proteolytic processing involves initial intracellular domain dimerization (By similarity). {ECO:0000250}.; DOMAIN: ERBB receptor binding is elicited entirely by the EGF-like domain. {ECO:0000250}.
P57071	PRDM15	PR domain zinc finger protein 15 (EC 2.1.1.-) (PR domain-containing protein 15) (Zinc finger protein 298)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15904895}.	
P58012	FOXL2	Forkhead box protein L2	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00089, ECO:0000269|PubMed:19744555}.	
P58340	MLF1	Myeloid leukemia factor 1 (Myelodysplasia-myeloid leukemia factor 1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9QWV4}. Nucleus {ECO:0000250|UniProtKB:Q9QWV4}. Cell projection, cilium {ECO:0000250|UniProtKB:Q9QWV4}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000250|UniProtKB:Q9QWV4}. Note=Shuttles between the cytoplasm and nucleus. {ECO:0000250|UniProtKB:Q9QWV4}.	
P58546	MTPN	Myotrophin (Protein V-1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}. Nucleus {ECO:0000250}. Cytoplasm, perinuclear region {ECO:0000250}.	
P59190	RAB15	Ras-related protein Rab-15 (EC 3.6.5.2)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}; Cytoplasmic side {ECO:0000305}.	DOMAIN: Switch 1, switch 2 and the interswitch regions are characteristic of Rab GTPases and mediate the interactions with Rab downstream effectors. The switch regions undergo conformational changes upon nucleotide binding which drives interaction with specific sets of effector proteins, with most effectors only binding to GTP-bound Rab. {ECO:0000250|UniProtKB:P62820}.
P59666	DEFA3	Neutrophil defensin 3 (Defensin, alpha 3) (HNP-3) (HP-3) (HP3) [Cleaved into: HP 3-56; Neutrophil defensin 2 (HNP-2) (HP-2) (HP2)]	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:29282039}.	
P59817	ZNF280A	Zinc finger protein 280A (3'OY11.1) (Suppressor of hairy wing homolog 1) (Zinc finger protein 636)	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.	
P59942	MCCD1	Mitochondrial coiled-coil domain protein 1	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:14527716}.	
P60174	TPI1	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|PROSITE-ProRule:PRU10127}.	
